Area,Career Level,Company,Company Website,Data Source,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Description,Job Functions,Job Highlights,Job Link,Job Title,Job Type,Qualification,Salary,Search Term,Jobtick Avgsalary,Jobtick Productjobs,Jobtick Prototyping,Jobtick Research,Jobtick Uiuxjobs,Jobtick Webmobileappjobs,Jobtick Wireframing,Jobtick Writing,Lower Salary Range,Upper Salary Range,Years of Experience
Not Specified,Entry,Centaline Data Technology Limited,Not Specified,JobsDB,09-29-2021,22-10-2021,,,Information Technology,"['To cope with our continuous growth and business expansion, we are looking for energetic and high calibre of candidates to join.\xa0', 'Duties:', 'Responsible for user interface design of system, mobile apps and websites', 'Banner, image retouch and other graphics design', 'Requirements:', 'Diploma holder or above in Web / Multimedia / Graphics design or related discipline;', 'At least\xa03 years’ solid experience in Web/App/Multimedia design;', 'Proficiency in graphics & web design tools such as Adobe Photoshop,\xa0 Illustrator, XD or Sketch;', 'Knowledge of design, prototyping tools and usability best practices in wire frames and prototypes;', 'Strong sense on responsive design, UI/UX and technology trends;', 'Knowledge of iOS & Android app official UI guideline;', 'Knowledge of JavaScript, HTML5, CSS3\xa0is a plus;', 'Responsible, detail-minded, have good interpersonal and communication skills;', 'Immediately available is preferable;', 'Candidates with more experience will be considered as Senior UX/UI De","Design, Multi-media, Information Technology (IT), Others, UI/UX Designer","['Diploma in Web / Multimedia / Graphics design', 'Solid exp in Web/App/Multimedia design', 'Quaterly Bonus / Medical & Study Allowance, etc']",/hk/en/job/ux-ui-designer-5-day-work-100003008777997,UX / UI Designer (5-day work),"Full Time, Permanent",Non-Degree Tertiary,Not Specified,UI UX Designer,,,1,,1,,,,,,1
Not Specified,Middle,SampsonStore.com Limited,Not Specified,JobsDB,09-29-2021,22-10-2021,,,Wholesale / Retail,"['Feel curious about how to develop your creative career in a company that sells sexual wellness products? Our creative culture enables us to think of any innovative tools that assist the sale of them. We focus on this specific merchandise and use our skills to engage our customers in different markets. A bigger challenge yet, we will develop our new backend system for use by all our overseas companies. With our strong IT team, we will work in markets including Hong Kong, Taiwan, Singapore, Australia and the UK. The successful candidate would join our team to enhance our online e-commerce shops, websites for our represented brands, and various gadgets.', 'Duties', 'Develop creative artwork for sexual wellness items - condoms, lubricants, and sex toys.', 'Develop web pages layouts for both front-end and back-end.', 'Prepare materials for Hong Kong, Taiwan, Singapore, Australia and the UK markets.', 'Work with suppliers from Japan, Germany, Malaysia, the States, and China.', 'Perform any ad-hoc duties as requir","Design, Web Designer, E-commerce, Others, Information Technology (IT), UI/UX Designer","['E-commerce', 'UI/UX web design', 'International exposure']",/hk/en/job/ui-ux-designer-for-both-front-end-websites-and-multinational-cms-system-100003008778038,UI/UX Designer (for both front-end websites and multinational CMS system),"Full Time, Permanent",School Certificate,Not Specified,UI UX Designer,,,,,1,1,,,,,3
Not Specified,Senior,Chow Sang Sang Holdings International Limited,http://www.chowsangsang.com,JobsDB,09-30-2021,22-10-2021,,,Wholesale / Retail,"['The UX/UI Manager will lead the development of user experiences and visual designs for all Chow Sang Sang Omnichannel digital applications. S/he will craft user-centric experiences that strike a balance between the consumers’ intent and the business’s needs, supported by research and design rationale. S/he will have a strong understanding of design for different platforms and devices, knowing differences and best practices across the regions different digital ecosystems.\xa0', 'S/he will have excellent communications skills; written, verbal and visual, the ability manage stakeholders, convey and exchange ideas with others from different backgrounds is key. Working closely with different business units, IT and Business Analyst teams, crafting the best, most informed design choices to deliver the best experiences for our end users and customers. There will also be collaborations with third party agencies when needed to deliver projects.', 'Responsibilities:', 'Collaborate with different end users, IT and Busi","Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Deliver consumer centric application for all brand', 'Conduct a variety of UX research', 'Minimum 6 years of experience in UI/UX Design']",/hk/en/job/ux-ui-manager-omnichannel-applications-100003008783402,UX/UI Manager - Omnichannel Applications,"Full Time, Permanent",Non-Degree Tertiary,Not Specified,UI UX Designer,,,1,1,1,1,1,,,,6
Not Specified,Entry,Oursky Limited,http://oursky.com,JobsDB,09-29-2021,22-10-2021,,,Information Technology,"['We’re looking a full time UI/UX Designer to join our team. You will work closely with other designers, business consultant, developers, and project managers to design the user interaction and user interface for new and existing mobile/web applications, from ideas to finished products. You will develop high level and detailed wireframes, mockups and prototypes to effectively communicate interaction and design. You will follow through the quality of the end products and push for changes that improve usability.', 'You will also need to discuss with the clients to understand their needs and idea, present your work both internally and to the clients, and conduct usability test / usability audit or user interview to improve your design.', 'Requirements', '0 - 2 years of experience in designing user interfaces for web or mobile-based applications;', 'Practical experience in wireframing, sketching, prototyping and visual elements design;', 'Strong visual design sense and attention to details;', 'Strong communicatio","Design, Web Designer, Others, Information Technology (IT), UI/UX Designer","['Work with the best software team in town', 'For creative designers who love cutting edge tech', 'Fun culture / Flexible working hours / WFH']",/hk/en/job/ui-ux-designer-web-mobile-app-100003008747959,UI/UX Designer (Web / Mobile App),"Full Time, Permanent",Not Specified,HK$20K - 25K /month ,UI UX Designer,22.5,,1,,1,1,1,,20,25,-1
Not Specified,Middle,Lloyd Karson International Limited,Not Specified,JobsDB,09-30-2021,22-10-2021,,,Human Resources Management/Consultancy,"['The client is an AI FinTech company, is now seeking a new headcount for\xa0Senior UI/UX Designer (User Experience / UX focus) – AI FinTech (HKD30k – 45k)\xa0to join their team.', 'Responsibilities:', 'Define design strategy for each product with product and market requirements in mind', 'Communicate design direction, decisions, and rationale to the product team on both web and applications', 'To brainstorm, research, wireframe and refine user experiences.', 'Develop information architecture, interaction models, interaction prototypes, customer flows, schematics, and visual design for products', 'Closely working with product and engineering to rapidly and iteratively prototype, including accepting and acting on feedback and constructive criticism', 'Conducting customer research including usability tests', 'Requirements:', 'Bachelor’s Degree in HCI Design / Multimedia Design / Interaction Design or related discipline', 'Proven experience in UX/UI design (web application design / enterprise software design a p","Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Solid UX/UI Experience', 'FinTech/ Startup / Agencies experience preferred', 'B2B / FSI exposure would be a plus']",/hk/en/job/senior-ui-ux-designer-user-experience-ux-focus-ai-fintech-hkd30k-45k-100003008783019,Senior UI/UX Designer (User Experience / UX focus) – AI FinTech (HKD30k – 45k),"Full Time, Permanent",Non-Degree Tertiary,HK$30K - 45K /month ,UI UX Designer,37.5,,1,1,1,,1,,30,45,4
Not Specified,Entry,World Family Limited,Not Specified,JobsDB,09-30-2021,22-10-2021,,,Trading and Distribution,"['Job Responsibilities:', 'Define and provide UI & UX solutions and wireframes for business webs and native applications that are supportive to digital marketing solutions & consumer-facing initiatives', 'Provide ongoing UX/UI support for business platforms as external and internal requirements arise', 'Propose and execute creative content in various format including text, graphic and motion graphics video on social media platforms & CRM tools such as Youtube, Facebook, Instagram eDM', 'Support new & on-going projects for design creative ad banners for various mediums to support business objectives', 'Requirements:', 'Diploma or above in Design / Web Design / Multimedia Design or related disciplines', 'Proficient in design tools including Photoshop, Adobe Illustrator & Figma with knowledge in using HTML, CSS, PHP, JavaScript and knowledge on Wordpress', 'Solid skills in UX/UI, responsive and web-content layouts and assets, online promotional campaigns, animated banner and interactive newsletters', 'Passionate","Marketing / Public Relations, Marketing - General / Support, Digital Marketing, Information Technology (IT), UI/UX Designer","['UX, UI and Digital Platform Design', 'Adobe Illustrator, Photoshop, Figma', 'Stable & harmonious working environment']",/hk/en/job/digital-designer-freelance-100003008781801,Digital Designer (Freelance),Freelance,Not Specified,Not Specified,UI UX Designer,,,,,,,1,,,,-1
Not Specified,Entry,"JPMorgan Chase Bank, N.A.",Not Specified,JobsDB,09-30-2021,22-10-2021,,,Financial Services,"[""As a member of our Software Engineering Group you will dive head-first into creating innovative solutions that advance businesses and careers. You'll join an inspiring and curious team of technologists dedicated to improving the design, analytics, development, coding, testing and application programming that goes into creating high quality software and new products. You'll be tasked with keeping the team and other key stakeholders up to speed on the progress of what's being developed. Coming in with an understanding of the importance of end-to-end software development-such as Agile frameworks-is key. And best of all, you'll be working with and sharing ideas, information and innovation with our global team of technologists from all over the world."", 'This role is within JP Morgan Prime Services and Equity Finance Technology group which is aligned within the Equities Technology organization, responsible for end-to-end technology solutions across Synthetics and Cash Prime Brokerage, Securities Lending, Agency ","Banking / Finance, Equities / Capital Markets, Others, Information Technology (IT), UI/UX Designer","['Follow test driven development', 'Take ownership of features from requirements', 'Experience of creating responsive designs']",/hk/en/job/ui-developer-equity-finance-associate-100003008783872,"UI Developer, Equity Finance, Associate",Full Time,Not Specified,Not Specified,UI UX Designer,,,,1,1,,1,,,,-1
Not Specified,Entry,Talent Fields Hong Kong Company Limited,Not Specified,JobsDB,09-28-2021,22-10-2021,,,Human Resources Management/Consultancy,"['Job Description', 'As a UX/UI Designer, you will:', 'Work with a multidisciplinary team to deliver beautiful user experiences across multiple platforms,\xa0This may include websites, applications and other touch-points', 'Conduct user research including contextual interviews, usability testing, and present findings to the team', 'Define and deliver interaction designs, UI patterns', 'Define and deliver interaction design flows, scenarios, and visual design language', 'Help contribute and refine UI pattern libraries and design guidelines', 'Work within Cathay Pacific quality standards, process, schedule and deliverables', 'Bring a multidisciplinary point of view of product design to the conversation', 'Effectively communicate with development and business teams through all stages of design and development', 'Be able to focus on user needs and how your design will solve their pain points.', 'Ability to self-motivate and deliver results in timely fashion', 'Collaborate, create, and help the team deliver', 'Qua","Information Technology (IT), UI/UX Designer","['1 year renewable contract / convert to perm', 'Experience UI/ UX design for Digital applications', 'immediate available is preferred']",/hk/en/job/ux-ui-designer-mnc-up-to-38k-100003008776661,UX/UI Designer - MNC up to 38k,"Full Time, Permanent",Not Specified,Not Specified,UI UX Designer,,,1,1,1,,,1,,,-1
Not Specified,Entry,JustOneGalaxy Recruitment Limited,Not Specified,JobsDB,09-29-2021,22-10-2021,,,Human Resources Management/Consultancy,"['UIUX Designer (Virtual Bank Digital Transformation Project, 25K)', 'Our client is an aggressively expanding Virtual Bank hiring a new UIUX Designer for their\xa0Bank Digital Transformation Project on Digital Channels (Mobile & Digital Banking)', 'Job Description', 'As a UX/UI Designer, you will advocate for design-driven project execution in a stimulating environment to unleash the potential of our business.', 'Work closely with business stakeholders, product owners, and business analysts, understand the business metrics and be able to translate the company’s and business’ goals.', 'Design wireframes, user journeys, UI mock-ups, components and prototypes or other digital forms for stakeholders and customers’ validation.', 'Develop pixel perfect UI and adjust design layouts based on user and stakeholders’ feedback.', 'Ability to collaborate effectively, working in agile delivery teams with developers, PM, business analysts, product owners, and business owners.', 'Contribute to usability testing planning acti","Information Technology (IT), Product Management / Business Analyst, Others, UI/UX Designer","['New Virtual Bank Digital Transformation Project', 'Brilliant Project & Dev Team & Founder', 'Young & fun culture']",/hk/en/job/uiux-designer-virtual-bank-digital-transformation-project-25k-100003008777671,"UIUX Designer (Virtual Bank Digital Transformation Project, 25K)","Full Time, Permanent",Non-Degree Tertiary,Not Specified,UI UX Designer,,,1,1,1,,1,,,,1
Not Specified,Middle,Meego Technology Limited,Not Specified,JobsDB,09-27-2021,22-10-2021,,,Information Technology,"['About the Role:', ""As a UX/UI Designer at MeeOpp, you'll tackle tough interaction and design challenges on the path towards transforming the role of technology in education. From concept to development to release, you'll define the product experience across our applications and collaborate with engineers, product managers, and business stakeholders to identify pain points and solve our users' biggest needs."", ""We're looking for someone who takes ownership of their work, adapts quickly to change, and does not compromise on quality. You have a passion for good design and user experience and are able to articulate your decisions to those of other disciplines. You have a strong command of the tools of your craft and are able to iterate rapidly, synthesizing feedback from multiple stakeholders to design the most effective solution for our users."", 'Responsibilities:', 'Create wireframes and prototypes to solve UX problems', 'Gather feedback to measure and improve the effectiveness of your designs', 'Work with pr","Information Technology (IT), UI/UX Designer","[""Join a passionate team that's making a difference"", 'Collaborate on UX research and UI visualizations', 'Create wireframes & prototypes for UX/UI problems']",/hk/en/job/ux-ui-designer-100003008772170,UX/UI Designer,"Full Time, Permanent",Degree,Not Specified,UI UX Designer,,,1,,1,,1,,,,3
Not Specified,Entry,Good Talent Creation Limited,Not Specified,JobsDB,09-27-2021,22-10-2021,,,Engineering - Others,"['Job Description', 'Prepare UX/UI design and materials including wireframing, mockup, and rapid prototyping for various interfaces, including websites, mobile devices, and apps for public use', 'Conduct user research, user testing, project evaluation and propose solutions to optimize customer experience', 'Able to communicate concepts and work collaboratively with the project team in order to develop the most efficient design schemas', 'Job Requirements', 'Experience in Adobe Illustrator, Photoshop', 'Good Interpersonal, Analytical & Communication Skills', 'Basic knowledge in client-side development skills, HTML5,\xa0 jQuery, Bootstrap, CSS3 and AJAX is a plus', 'Fresh graduates may also be considered']","Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Experience in Web/UI design', 'Diploma in Web / Multimedia / Graphics design', 'Immediately available is highly preferred']",/hk/en/job/graphic-web-ui-designer-100003008772323,Graphic/Web/UI Designer,Full Time,Non-Degree Tertiary,Not Specified,UI UX Designer,,,1,1,1,1,1,,,,-1
Not Specified,Middle,Pacific Cloud Computing Limited,Not Specified,JobsDB,10-11-2021,22-10-2021,,,Banking,"['Responsibilities :', 'Develop, enhance, maintain and update the company’s websites to meet company’s requirement', 'Providing suggestions and solutions to various different teams for projects’ support', 'Support the company’s marketing team by handling technical maintenance and feature expansion of the company’s websites', 'Work closely with UI/UX designer to deliver the best experience on both web and mobile platforms', 'Follow compliance requirement by maintaining and enforcing procedures', 'Manage system availability and day-to-day operations of supported applications', 'Resolve incidents, and perform root-cause analysis and resolution to eliminate recurrences', 'Prepare up-to-date documentation, including user manual, troubleshooting guide, knowledge bases, etc', 'Requirements :', 'Higher Diploma or above in Computer Engineering/Computer Science or related discipline', '3+ years’ experience in web development', 'Proficient in web development on WordPress/CMS with minimum 2 year hands-on experience.\xa0E","Information Technology (IT), Software Development","['WordPress / CMS / Martech', 'High potential in business growth', 'Cryptocurrency, Blockchain, Fintech']",/hk/en/job/wordpress-expert-cms-expert-100003008809297,WordPress Expert / CMS Expert,Full Time,Non-Degree Tertiary,Not Specified,UI UX Designer,,,,,,,,,,,3
Not Specified,Middle,ConnectedGroup Limited,http://www.connectedgroup.com,JobsDB,09-27-2021,22-10-2021,['3972 6563'],,Human Resources Management/Consultancy,"['Our client is a well established sourcing company based in Hong Kong, focusing on fashion & beauty items. Equipped with a well structured digitalization plan, they are currently looking for a UXUI Designer to join the development team.', 'Job functions:', 'Communicate closely with business stakeholders and understand business goals & directions', 'Participate in market research and analysis to identify new opportunities', 'Study on different users behaviours, market & cultural factors', 'Create user stories, wire-frames, flow diagrams and other design documents', 'Define, align and execute digital strategies and road map', 'Support application development team in project management, UAT and product launch', 'Job requirements:', 'Bachelor degree holder', ""Over 3 years' experience in UX/UI design or digital product design"", 'Solid experience in managing SDLC methodologies and tools', 'Understanding on core front-end tools such as HTML, JavaScript, CSS and etc will be a great advantage', 'Interested individual","Design, Web Designer, Information Technology (IT), Application Specialist - Software, UI/UX Designer","['Well known, sizable and expanding sourcing company', 'In-house role. 13 month guaranteed. New headcount.', 'Require solid experience in UXUI design.']",/hk/en/job/ux-ui-product-designer-user-customer-experience-%3C40k-100003008770881,UX UI/ Product Designer - User/ Customer Experience (<40k),"Full Time, Permanent",Degree,HK$30K - 35K /month ,UI UX Designer,32.5,1,,1,1,,,,30,35,3
Not Specified,Entry,AI Academy Limited,Not Specified,JobsDB,09-26-2021,22-10-2021,,,Information Technology,"['Company Background', 'AI Academy established from a team of dedicated A.I. software developers. We provide tailor-made, high quality and innovative software solutions. We create ideas, deliver solutions with insights for enterprises to strengthen their productivity. We are confident in offering artificial intelligence and computer science and knowledge of how to build chatbot, video games, apps, and websites. We carried out missions of innovating and stretching the potential of our future AI leaders.', 'Job Highlights', '5-days work', '12-days annual leave', 'Work with a dynamic and highly motivated team with a flat hierarchy', '\xa0', 'Vibrant workplace with energy, positivity, and growth', 'Wide range of wellness facilities, fitness center and food & beverage', 'Enjoys a spectacular view of the Tolo Harbour', 'Free coffee, tea and fruit\xa0', 'Regular and fun company activities', 'Job Responsibilities', 'Develop and maintain and implement web-based applications, software development kit, demand side platf","Design, Multi-media, Information Technology (IT), UI/UX Designer","['UIUX Designer', 'High Exposure', 'Flexible Working']",/hk/en/job/ux-ui-designer-part-time-full-time-100003008603842,UX/UI Designer (Part Time/Full Time),"Full Time, Part Time, Internship",Not Specified,Not Specified,UI UX Designer,,,,,1,,1,,,,-1
Not Specified,Entry,Epicurean Management Limited,Not Specified,JobsDB,10-12-2021,22-10-2021,,,Others,"['Key Responsibilities', 'Responsible for web applications and user interface development, testing, deployment, maintenance;', 'Work with designers to enhance UI/UX experience;', 'Design different types of interactive graphs for data analysis;', 'Job Requirements', 'Possess experience in HTML, CSS, JSON, XML;', 'Basic knowledge in Bootstrap, Angular/ React, JavaScript, TypeScript and Git;', 'Knowledge in Node.js and MongoDB is a plus;', 'Good understanding in object-oriented programming concepts;', 'Able to work independently to meet tight project deadlines;', 'Strong sense of responsibility, self-motivation and attention to details;', 'Good interpersonal and communication skill,', ' a', 'ble to cooperate with different background and culture people;', 'Capable to communicate in English and Chinese (including Putonghua and Cantonese);', 'Fresh graduate is welcomed', 'Attractive remuneration and fringe benefits will be offered to the right candidates.\xa0 Interested parties, please email your resume with curre","Information Technology (IT), IT - Webmaster / SEO, Software Development, UI/UX Designer","['Enhance UI/UX experience', 'HTML, CSS, JSON, XML', 'Web applications and user interface development']",/hk/en/job/junior-web-programmer-front-end-100003008810272,Junior Web Programmer (Front-end),"Full Time, Permanent",Not Specified,Not Specified,UI UX Designer,,,,,,1,,,,,-1
Not Specified,Entry,Talent Fields Hong Kong Company Limited,Not Specified,JobsDB,09-24-2021,22-10-2021,,,Human Resources Management/Consultancy,"['Job Description', 'As a UX/UI Designer, you will:', 'Work with a multidisciplinary team to deliver beautiful user experiences across multiple platforms,\xa0This may include websites, applications and other touch-points', 'Conduct user research including contextual interviews, usability testing, and present findings to the team', 'Define and deliver interaction designs, UI patterns', 'Define and deliver interaction design flows, scenarios, and visual design language', 'Help contribute and refine UI pattern libraries and design guidelines', 'Work within Cathay Pacific quality standards, process, schedule and deliverables', 'Bring a multidisciplinary point of view of product design to the conversation', 'Effectively communicate with development and business teams through all stages of design and development', 'Be able to focus on user needs and how your design will solve their pain points.', 'Ability to self-motivate and deliver results in timely fashion', 'Collaborate, create, and help the team deliver', 'Qua","Information Technology (IT), UI/UX Designer","['Permanent', 'Experience UI/ UX design for Digital applications', 'immediate available is preferred']",/hk/en/job/junior-ux-ui-designer-permanent-up-to-30k-100003008766995,Junior UX/UI Designer - Permanent up to 30k,"Full Time, Permanent",Not Specified,Not Specified,UI UX Designer,,,1,1,1,,,1,,,-1
Not Specified,Entry,Bacera Co Pty Limited,Not Specified,JobsDB,10-12-2021,22-10-2021,,,Financial Services,"['I.T. Department of a financial firm with operations in Asia and Australia. We are looking for a Full Stack Programmer to work on back-office and client websites.', 'You will be working closely with our designers and other front-end developers and taking majority ownership over the UI tier to create an attractive and innovative user experience.', 'The Full Stack Programmer must be familiar with many advanced scripting languages, including PHP/Laravel, JavaScript/Vue.js CSS/Tailwindcss, Mysql, and AWS in order to properly manage all systems.', 'The Full Stack Programmer will make decisions necessary to create and manage the backend structure, including creating databases, automating routine jobs, and generating daily reports.', 'Responsibilities include working with a team of other software engineers, including Front-End Developers and Graphic Designers. You will have a direct impact on the development of strategies to help improve the capabilities, functionality, security, and integrity of both new and exist","Information Technology (IT), Application Specialist - Software, Software Development, Network & System","['At least 1 year experience in backend development', 'Must have a consumer centric design approach', 'Sponsor work visa to work in Sydney or LA office']",/hk/en/job/full-stack-programmer-5-days-work-week-100003008809583,Full Stack Programmer (5-days work week),"Full Time, Permanent",Not Specified,Not Specified,UI UX Designer,,,,,,,,,,,1
Not Specified,Entry,K-Sky Limited,Not Specified,JobsDB,09-28-2021,22-10-2021,,,Information Technology,"['We are looking for UIX Designer to work on existing and new Web/App solutions for desktop and mobile devices. The ideal candidate is energetic and self-driven. Training and support will be provided in order for you to excel in this position.', 'Job Description:', 'Responsible for delivering user-friendly and intuitive UIX design on Web/App', 'Create user flows, wireframes, prototypes and mockups that clearly illustrate sites functions', 'Solve UX problems (e.g. usability, findability) and communicate design ideas to developers', 'Design marketing materials and presentation templates', 'Assist in collecting user requirements and transform them into designs for use', 'Facilitate and provide design advice to colleagues', 'Handle any other ad-hoc tasks as assigned', 'Candidates with more experience may be considered as Senior UIX Designer']","Information Technology (IT), Software Development","['Experience in UI/UX design with portfolio', 'Professional in the use of Adobe XD, PS, AI', 'Fresh graduates are also welcomed to apply']",/hk/en/job/uix-designer-100003008774241,UIX Designer,Full Time,Degree,Not Specified,UI UX Designer,,,1,,1,,1,,,,1
Not Specified,Senior,CryptoBLK Limited,Not Specified,JobsDB,09-27-2021,22-10-2021,,,Information Technology,"['Job Description', 'Analyze user requirements;\xa0', 'Facilitate user research, develop user stories and journeys to the user flow;', 'Develop wireframes, flowcharts, prototypes, and user-testing;\xa0', 'Identify and troubleshoot UX defeats;\xa0', 'Design graphic user interface elements and UI mock-ups to illustrate all functions and business flows;', 'Work closely with various stakeholders to develop an intuitive user experience for the products;', 'Present design solutions to\xa0management and project stakeholders;\xa0', 'Facilitate usability tests to evaluate product performance.', 'Qualifications', 'Bachelor degree in design or equivalent combination of education and experience;', '3+ years of UIUX design experience or similar role with solid skills.\xa0 Experience in designing B2B products is a plus;', 'Less experience will be considered as Junior UIUX Designer', 'Up-to-date knowledge of design software, including Sketch, Figma, and relevant software tools;', 'A good team player with strong communicatio","Information Technology (IT), UI/UX Designer","['3+ years of UIUX design experience (Sketch, Figma)', 'Good understanding of current and future UX trends', 'Passion in learning new design methodologies']",/hk/en/job/senior-uiux-designer-100003008772064,Senior UIUX Designer,"Full Time, Permanent",Degree,Not Specified,UI UX Designer,,,1,1,1,,1,,,,3
Not Specified,Middle,YOOV Internet Technology (HK) Limited,Not Specified,JobsDB,10-11-2021,22-10-2021,,,Information Technology,"['To cope with our business growth, we are currently looking for a high calibre candidate to join us as a Full Stack Developer who is comfortable with both front and back end programming.', 'Full stack developers are responsible for developing and designing front-end web architecture, ensuring the responsiveness of applications, and working alongside graphic/UI/UX designers for web design features, among other duties. Full stack developers will be required to see out a project from conception to final product, requiring good organizational skills and attention to detail.', 'Responsibilities', 'Developing front-end website architecture', 'Designing user interactions on web pages', 'Developing back-end website applications', 'Creating servers and databases for functionality', 'Ensuring cross-platform optimization for mobile phones', 'Ensuring responsiveness of applications', 'Working alongside graphic/UI/UX designers for web design features', 'Seeing through a project from conception to finished product', 'Desi","Information Technology (IT), Application Specialist - Software, Software Development, Others","['User experience and interface design', 'Excellent Career Development Opportunity', 'Work-Life Balance Fast Growing IT Company']",/hk/en/job/full-stack-developer-5-day-work-100003008809144,Full Stack Developer (5-day work),"Full Time, Permanent",Matriculated,Not Specified,UI UX Designer,,,,,,,,,,,-1
Not Specified,Middle,Blockchain Solutions Limited,Not Specified,JobsDB,09-27-2021,22-10-2021,,,Financial Services,"['Responsibilities:', 'Participate in the full development life cycle.', 'Perform UX/UI Design and coding.', 'Prepare document on design, deployment and user manual, etc.', 'Provide support to various testing activities including unit testing, integration testing, user acceptance testing.', 'Perform any other duties as assigned.', 'Requirements:', 'Bachelor’s degree in Computer Science or relate discipline.', '1-2 years of IT working experience in programming. Fresh graduates are also welcome', 'Experience in responsive web application development and familiar with on web framework (VudeJS, ExpressJS, AngularJS, ReactJS or other Web Technologies)', 'Experience on responsive and adaptive layout design.', 'Experience on Web Socket is a plus.', 'Experience on integration with backend application by Rest API or Web Services.', 'Experience in Spring boot, J2EE is an advantage.', 'Fast learner with passion on new technologies & analytical thinking.', 'Good command of spoken on English or Cantonese', 'Excellent inte","Information Technology (IT), Others","['5 days work', 'Flexiable working hours', 'Medical Insurance']",/hk/en/job/analyst-programmer-ux-ui-100003008771978,Analyst Programmer (UX/UI),"Full Time, Permanent",Degree,Not Specified,UI UX Designer,,,,,1,,,,,,2
Not Specified,Middle,Flex Recruitment,Not Specified,JobsDB,09-24-2021,22-10-2021,['3586 3929'],,Human Resources Management/Consultancy,"['1. User Interface Designer', 'Responsibilities:', 'Develop standard UI components and style guides for company-wide use.', 'Effectively communicate your designs to developers and other key stakeholders.', 'Address product, marketing and business needs.', 'Conduct industry research and stay up-to-date on best practices, competitor UI designs and emerging technologies.', 'Work closely to provide support and internal training for design team members.', 'Support the QA team to make sure features are implemented as intended.', 'Requirements:', 'Minimum 3 years experience in ', 'user interface design', ' or related fields.', 'Familiar with an in-house agile team setting which has launched at least 1 production App on ', 'iOS or Android', '.', 'Having a keen eye on the design trends, front-edge technologies and designs.', 'Proficient in Photoshop, Illustrator is a plus.', 'Ability to innovate and develop out-of-the-box solutions to complex user interaction problems.', 'Strong presentation skills.', 'Preferred : Ex","Information Technology (IT), Application Specialist - Software, E-commerce, Software Development, UI/UX Designer","['3 yrs exp in UI/UX design, prod app on iOS/Android', 'Familiar with in-house agile team setting, startup', 'Proficient in Photoshop, Illustrator is a plus']",/hk/en/job/ui-ux-designer-100003008765146,UI/UX Designer,"Full Time, Permanent",Not Specified,Not Specified,UI UX Designer,,,1,1,1,,1,,,,-1
Not Specified,Senior,Techtronic Industries Co Limited,http://www.ttigroup.com/,JobsDB,10-09-2021,22-10-2021,,,Manufacturing,"['\xa0', 'Responsibilities', 'Assist on the architect of regional network infrastructure including manufacturing network, IoT, wifi, cloud network and MPLS.', 'Evaluate IT technologies and products, conduct PoC and contribute ideas to the design, integration and execution of continuous improvement plans', 'Maintain the documentation on network infrastructure in accordance with company security and compliance policy', 'Implement network changes in accordance with the change of management process', 'Support network infrastructure components including but not limited to router, switches, firewall, load balancer, VPN, WLC.', 'Participate in local and regional network infrastructure projects, work closely with different teams across regions and vendors for project delivery', 'Occasional travel is required', 'Requirements', 'Degree in Information Technology, Computer Science or equivalent', '10 years solid network infrastructure working experience, including 5 years working in SI experience and as project engineer'","Information Technology (IT), Application Specialist - Network, Network & System","['network infrastructure', 'cloud network', 'network architect']",/hk/en/job/network-manager-100003008804601,Network Manager,Full Time,Degree,Not Specified,UI UX Designer,,,,,,,,,,,8
Not Specified,Entry,Wealthwise Innovation and Technology Limited,Not Specified,JobsDB,09-23-2021,22-10-2021,,,Information Technology,"['Job Duties', 'Working on digital products including websites and apps with intuitive user experiences through research, concept, user flows, process flows, sketching, rapid product prototyping and user interface design.', 'Design graphics', 'Photography editing', 'Website Building Requirements', 'Passionate in web technologies and graphic design fields', 'strong art sense and attention to details', 'Self motivated and willing to learn', 'Good understanding of user interface requirements and web design', 'Higher diploma or above in Graphic / Multimedia / Advertising or related disciplines', '2 -3 years of web or mobile layout design experience preferred', 'Proficiency in PC, Photoshop, Illustrator, HTML and CSS', 'Strong HTML, JavaScript and front-end UI development skills and in-depth understanding of CSS, HTML, HTML5, DIV, JavaScript/jQuery', 'Experience in cross browsers development & mobile website development']","Information Technology (IT), Software Development, E-commerce, Software Development, UI/UX Designer","['Fun & Dynamic company culture', 'Opportunity to explore various technologies', '5 days work - Flexible working environment']",/hk/en/job/web-designer-ui-ux-designer-100003008758320,"Web Designer, UI / UX Designer","Full Time, Contract",Non-Degree Tertiary,Not Specified,UI UX Designer,,,1,1,1,1,,,,,-1
